"まばたき連動"	"Fcl_EYE_Close_Group"
"ウィンク右"	"Fcl_EYE_Joy_R"
"ウィンク右ボーン"	"Fcl_EYE_Joy_R_Bone"
"ウィンク右連動"	"Fcl_EYE_Joy_R_Group"
"ウィンク"	"Fcl_EYE_Joy_L"
"ウィンクボーン"	"Fcl_EYE_Joy_L_Bone"
"ウィンク連動"	"Fcl_EYE_Joy_L_Group"
"笑い"	"Fcl_EYE_Joy"
"笑い連動"	"Fcl_EYE_Joy_Group"
"目を細める右"	"Fcl_EYE_Fun_R"
"目を細める左"	"Fcl_EYE_Fun_L"
"目を細める"	"Fcl_EYE_Fun"
"下瞼上げ右"	"raiseEyelid_R"
"下瞼上げ左"	"raiseEyelid_L"
"下瞼上げ"	"raiseEyelid"
"ｷﾘｯ右"	"Fcl_EYE_Angry_R"
"ｷﾘｯ左"	"Fcl_EYE_Angry_L"
"ｷﾘｯ"	"Fcl_EYE_Angry"
"じと目右"	"Fcl_EYE_Sorrow_R"
"じと目左"	"Fcl_EYE_Sorrow_L"
"じと目"	"Fcl_EYE_Sorrow"
"上瞼↑右"	"Fcl_EYE_Spread_R"
"上瞼↑左"	"Fcl_EYE_Spread_L"
"上瞼↑"	"Fcl_EYE_Spread"
"なぬ！右"	"eye_Nanu_R"
"なぬ！左"	"eye_Nanu_L"
"なぬ！"	"eye_Nanu"
"目隠し頂点"	"eye_Hide_Vertex"
"はぅ材質"	"eye_Hau_Material"
"はぅ"	"eye_Hau"
"はちゅ目材質"	"eye_Hachume_Material"
"はちゅ目"	"eye_Hachume"
"なごみ材質"	"eye_Nagomi_Material"
"なごみ"	"eye_Nagomi"
"星目材質"	"eye_Star_Material"
"はぁと材質"	"eye_Heart_Material"
"星目"	"eye_Star"
"はぁと"	"eye_Heart"
"ナチュラル"	"Fcl_EYE_Natural"
"白目"	"Fcl_EYE_Iris_Hide"
"白目右"	"Fcl_EYE_Iris_Hide_R"
"白目左"	"Fcl_EYE_Iris_Hide_L"
"ハイライトなし"	"Fcl_EYE_Highlight_Hide"
"ハイライトなし右"	"Fcl_EYE_Highlight_Hide_R"
"ハイライトなし左"	"Fcl_EYE_Highlight_Hide_L"
"あ頂点"	"Fcl_MTH_A"
"あボーン"	"Fcl_MTH_A_Bone"
"あ"	"Fcl_MTH_A_Group"
"い頂点"	"Fcl_MTH_I"
"いボーン"	"Fcl_MTH_I_Bone"
"い"	"Fcl_MTH_I_Group"
"う頂点"	"Fcl_MTH_U"
"うボーン"	"Fcl_MTH_U_Bone"
"う"	"Fcl_MTH_U_Group"
"え頂点"	"Fcl_MTH_E"
"えボーン"	"Fcl_MTH_E_Bone"
"え"	"Fcl_MTH_E_Group"
"お頂点"	"Fcl_MTH_O"
"おボーン"	"Fcl_MTH_O_Bone"
"お"	"Fcl_MTH_O_Group"
"ん"	"Fcl_MTH_Neutral"
"一文字"	"Fcl_MTH_Close"
"口上"	"Fcl_MTH_Up"
"口下"	"Fcl_MTH_Down"
"Λ右"	"Fcl_MTH_Angry_R"
"Λ左"	"Fcl_MTH_Angry_L"
"Λ"	"Fcl_MTH_Angry"
"口角下げ右"	"Fcl_MTH_Sage_R"
"口角下げ左"	"Fcl_MTH_Sage_L"
"口角下げ"	"Fcl_MTH_Sage"
"うー"	"Fcl_MTH_Small"
"口横広げ"	"Fcl_MTH_Large"
"にっこり右"	"Fcl_MTH_Fun_R"
"にっこり左"	"Fcl_MTH_Fun_L"
"にっこり"	"Fcl_MTH_Fun"
"にこ右"	"Fcl_MTH_Niko_R"
"にこ左"	"Fcl_MTH_Niko_L"
"にこ"	"Fcl_MTH_Niko"
"ワ頂点"	"Fcl_MTH_Joy"
"ワボーン"	"Fcl_MTH_Joy_Bone"
"ワ"	"Fcl_MTH_Joy_Group"
"▲頂点"	"Fcl_MTH_Sorrow"
"▲ボーン"	"Fcl_MTH_Sorrow_Bone"
"▲"	"Fcl_MTH_Sorrow_Group"
"わー頂点"	"Fcl_MTH_Surprised"
"わーボーン"	"Fcl_MTH_Surprised_Bone"
"わー"	"Fcl_MTH_Surprised_Group"
"べーボーン"	"Fcl_MTH_tongueOut"
"べー"	"Fcl_MTH_tongueOut_Group"
"ぺろりボーン"	"Fcl_MTH_tongueUp"
"ぺろり"	"Fcl_MTH_tongueUp_Group"
"肌牙左"	"Fcl_MTH_SkinFung_L"
"肌牙右"	"Fcl_MTH_SkinFung_R"
"肌牙"	"Fcl_MTH_SkinFung"
"牙"	"Fcl_HA_Fung1"
"牙上右"	"Fcl_HA_Fung1_Up_R"
"牙上左"	"Fcl_HA_Fung1_Up_L"
"牙上"	"Fcl_HA_Fung1_Up"
"牙下右"	"Fcl_HA_Fung1_Low_R"
"牙下左"	"Fcl_HA_Fung1_Low_L"
"牙下"	"Fcl_HA_Fung1_Low"
"ギザ歯上"	"Fcl_HA_Fung2_Up"
"ギザ歯下"	"Fcl_HA_Fung2_Low"
"ギザ歯"	"Fcl_HA_Fung2"
"真ん中牙上"	"Fcl_HA_Fung3_Up"
"真ん中牙下"	"Fcl_HA_Fung3_Low"
"真ん中牙"	"Fcl_HA_Fung3"
"歯隠"	"Fcl_HA_Hide"
"歯短上"	"Fcl_HA_Short_Up"
"歯短下"	"Fcl_HA_Short_Low"
"歯短"	"Fcl_HA_Short"
"照れ"	"Cheek_Dye"
"ニュートラル"	"Fcl_ALL_Neutral"
"怒"	"Fcl_ALL_Angry"
"楽"	"Fcl_ALL_Fun"
"喜"	"Fcl_ALL_Joy"
"哀"	"Fcl_ALL_Sorrow"
"驚"	"Fcl_ALL_Surprised"
"エッジOFF"	"Edge_Off"
"にこり右+"	"Fcl_BRW_Fun_R"
"にこり左+"	"Fcl_BRW_Fun_L"
"にこり+"	"Fcl_BRW_Fun"
"にこり2右+"	"Fcl_BRW_Joy_R"
"にこり2左+"	"Fcl_BRW_Joy_L"
"にこり2+"	"Fcl_BRW_Joy"
"困る右+"	"Fcl_BRW_Sorrow_R"
"困る左+"	"Fcl_BRW_Sorrow_L"
"困る+"	"Fcl_BRW_Sorrow"
"怒り右+"	"Fcl_BRW_Angry_R"
"怒り左+"	"Fcl_BRW_Angry_L"
"怒り+"	"Fcl_BRW_Angry"
"驚き右+"	"Fcl_BRW_Surprised_R"
"驚き左+"	"Fcl_BRW_Surprised_L"
"驚き+"	"Fcl_BRW_Surprised"
"びっくり右+"	"Fcl_EYE_Surprised_R"
"びっくり左+"	"Fcl_EYE_Surprised_L"
"びっくり+"	"Fcl_EYE_Surprised"
"ｳｨﾝｸ２右+"	"Fcl_EYE_Close_R"
"ウィンク２+"	"Fcl_EYE_Close_L"
"まばたき+"	"Fcl_EYE_Close"
"ウィンク右+"	"Fcl_EYE_Joy_R"
"ウィンク+"	"Fcl_EYE_Joy_L"
"笑い+"	"Fcl_EYE_Joy"
"目を細める右+"	"Fcl_EYE_Fun_R"
"目を細める左+"	"Fcl_EYE_Fun_L"
"目を細める+"	"Fcl_EYE_Fun"
"下瞼上げ右+"	"raiseEyelid_R"
"下瞼上げ左+"	"raiseEyelid_L"
"ｷﾘｯ右+"	"Fcl_EYE_Angry_R"
"ｷﾘｯ左+"	"Fcl_EYE_Angry_L"
"ｷﾘｯ+"	"Fcl_EYE_Angry"
"じと目右+"	"Fcl_EYE_Sorrow_R"
"じと目左+"	"Fcl_EYE_Sorrow_L"
"じと目+"	"Fcl_EYE_Sorrow"
"上瞼↑右+"	"Fcl_EYE_Spread_R"
"上瞼↑左+"	"Fcl_EYE_Spread_L"
"上瞼↑+"	"Fcl_EYE_Spread"
"目隠し頂点+"	"eye_Hide_Vertex"
"はぅ材質+"	"eye_Hau_Material"
"はちゅ目材質+"	"eye_Hachume_Material"
"なごみ材質+"	"eye_Nagomi_Material"
"白目+"	"Fcl_EYE_Iris_Hide"
"白目右+"	"Fcl_EYE_Iris_Hide_R"
"白目左+"	"Fcl_EYE_Iris_Hide_L"
"ハイライトなし+"	"Fcl_EYE_Highlight_Hide"
"ハイライトなし右+"	"Fcl_EYE_Highlight_Hide_R"
"ハイライトなし左+"	"Fcl_EYE_Highlight_Hide_L"
"あ頂点+"	"Fcl_MTH_A"
"い頂点+"	"Fcl_MTH_I"
"う頂点+"	"Fcl_MTH_U"
"え頂点+"	"Fcl_MTH_E"
"お頂点+"	"Fcl_MTH_O"
"一文字+"	"Fcl_MTH_Close"
"▲頂点+"	"Fcl_MTH_Sorrow"
"牙下右+"	"Fcl_HA_Fung1_Low_R"
"牙下左+"	"Fcl_HA_Fung1_Low_L"
"牙下+"	"Fcl_HA_Fung1_Low"
"怒+"	"Fcl_ALL_Angry"
"楽+"	"Fcl_ALL_Fun"
"喜+"	"Fcl_ALL_Joy"
"哀+"	"Fcl_ALL_Sorrow"
"驚+"	"Fcl_ALL_Surprised"
